LocID,PerilID,CoverageTypeID,Message
319,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
320,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
321,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
322,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
323,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
324,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
325,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
326,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
327,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
328,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
329,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
330,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
331,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
332,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
333,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
334,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
335,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
336,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
337,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
338,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
